type,location,bed,address,total_sqft,bath,price
Condo for sale,Manhattan,2,2 E 55th St Unit 803,1400,2,315000
Condo for sale,New York County,7,Central Park Tower Penthouse-217 W 57th New York St Unit Penthouse,17545,10,195000000
House for sale,Richmond County,4,620 Sinclair Ave,2015,2,260000
Condo for sale,New York County,3,2 E 55th St Unit 908W33,445,1,69000
Townhouse for sale,New York County,7,5 E 64th St,14175-15000,2.373860858,55000000
House for sale,Kings County,5 BHK,584 Park Pl,4004,2,690000
Condo for sale,New York,2,157 W 126th St Unit 1B,2184.207862,2,899500
House for sale,Richmond County,8,177 Benedict Rd,33000,16,16800000
Co-op for sale,East Bronx,1,875 Morrison Ave Apt 3M,750,1,265000
Co-op for sale,Brooklyn,2,1350 Ocean Pkwy Apt 5G,978,1,440000
Co-op for sale,The Bronx,2,800 Grand Concourse Apt 2JS,850,1,375000
Townhouse for sale,Richmond County,3,456 Van Name Ave,1162,2.373860858,689000
Co-op for sale,Queens,3,34-41 85th St Unit 1D,2184.207862,1,259000
Co-op for sale,Queens,2,91-15 Lamont Ave Unit 6D,2184.207862,2,430000
Co-op for sale,New York,3,61 Jane St Apt 6N,2184.207862,1,895000
Condo for sale,Staten Island,2,4654 Amboy Rd Unit 2B,1000,2,549000
Townhouse for sale,Queens County,3,28-31 Hobart St,1734,2,975000
Co-op for sale,Brooklyn,3,9430 Ridge Blvd Apt 6D,325,1,199000
Co-op for sale,The Bronx,1,5800 Arlington Ave Apt 21A,700,1,350000
Condo for sale,Queens,2,92-29 Queens Blvd Unit 3H,974,2,599000
House for sale,Richmond County,3,27 Clove Way,1260,2,639999
Condo for sale,Queens,2 Bedroom,10724 71st Rd Apt 9F,1244,2,1300000
Multi-family home for sale,Bronx County,6,1038 Throggs Neck Expy Unit Sr,2837,3,1100000
Condo for sale,Staten Island,1,165 Cromwell Ave Apt 2B,651,1,349900
House for sale,Richmond County,2,280 Loretto St,1330,2,750000
Multi-family home for sale,Queens County,6,149-07 85 Rd,2200,4,1690000
Co-op for sale,Queens,1,35-45 81st St Unit E1,2184.207862,1,325000
Multi-family home for sale,New York,12,2361 81st St,5670,2.373860858,2250000
